,F_optimal_key,F_optimal_s_num,F_optimal_ncc,F_optimal_poll_count,F1_key,F1_s_num,F1_ncc,F1_poll_count,F2_key,F2_s_num,F2_ncc,F2_poll_count,F3_key,F3_s_num,F3_ncc,F3_poll_count,F4_key,F4_s_num,F4_ncc,F4_poll_count,F5_key,F5_s_num,F5_ncc,F5_poll_count,F6_key,F6_s_num,F6_ncc,F6_poll_count,F7_key,F7_s_num,F7_ncc,F7_poll_count,F8_key,F8_s_num,F8_ncc,F8_poll_count
0,t13-3,19,0.3100303951367781,25,t12-2,16,0.7511520737327189,22,t18,25,0.49544072948328266,19,t6,10,0.6403641881638846,44,t18,25,0.49544072948328266,19,t18,25,0.49544072948328266,19,t18,25,0.49544072948328266,19,t18,25,0.49544072948328266,19,t7-2,11,0.8057663125948407,29
1,t2-1,64,1.0,23,t7-1,67,0.4079147640791476,25,m17,71,0.2898330804248862,39,t11-3,72,0.729483282674772,20,t3-2,65,0.49390243902439024,34,t3-2,65,0.49390243902439024,34,t3-2,65,0.49390243902439024,34,t3-2,65,0.49390243902439024,34,t3-2,65,0.49390243902439024,34
2,t16,23,0.4072948328267477,34,m14,37,1.0,46,m4,28,0.5030395136778115,56,t11-5,15,0.6226993865030674,28,t10,14,0.456752655538695,32,m4,28,0.5030395136778115,56,m7,45,0.4253048780487805,48,t10,14,0.456752655538695,32,t11-5,15,0.6226993865030674,28
3,m17,71,0.2898330804248862,39,cc10,41,1.0,50,t11-5,15,0.6226993865030674,28,t1-2,5,0.8227272727272728,33,t2-4,6,0.8072837632776935,27,t10,14,0.456752655538695,32,t7-1,67,0.4079147640791476,25,t2-4,6,0.8072837632776935,27,t2-3,68,1.0,28
4,t4,8,0.7092846270928462,58,t4,8,0.7092846270928462,58,t5-2,9,0.7051671732522796,27,t12-5,17,0.634703196347032,19,t12-2,16,0.7511520737327189,22,t13-1,40,0.4817629179331307,19,t13-1,40,0.4817629179331307,19,t12-2,16,0.7511520737327189,22,t13-1,40,0.4817629179331307,19
5,m12,35,0.4785276073619632,49,t2-2,57,0.629742033383915,37,t12-1,0,0.5288753799392097,15,t12-1,0,0.5288753799392097,15,t12-1,0,0.5288753799392097,15,t11-3,72,0.729483282674772,20,ec1,42,1.0,27,cc11,3,1.0,53,t14-1,44,1.0,16
6,t13-4,20,1.0,21,m9,32,0.6621212121212121,50,m7,45,0.4253048780487805,48,t7-2,11,0.8057663125948407,29,m7,45,0.4253048780487805,48,m7,45,0.4253048780487805,48,t11-3,72,0.729483282674772,20,t10,14,0.456752655538695,32,m12,35,0.4785276073619632,49
7,t13-3,19,0.3100303951367781,25,t18,25,0.49544072948328266,19,m16,39,0.31546707503828486,37,t12-5,17,0.634703196347032,19,t14-1,44,1.0,16,t11-5,15,0.6226993865030674,28,t13-2,18,0.7075757575757575,21,t14-1,44,1.0,16,t13-2,18,0.7075757575757575,21
8,t1-1,56,1.0,40,t11-4,59,1.0,19,m12,35,0.4785276073619632,49,t8-2,12,0.703030303030303,43,m12,35,0.4785276073619632,49,t18,25,0.49544072948328266,19,m2,26,0.6145675265553869,61,t5-2,9,0.7051671732522796,27,m2,26,0.6145675265553869,61
9,t14-2,21,1.0,19,t11-3,72,0.729483282674772,20,t9,13,0.6651376146788991,39,cc1,63,0.5899390243902439,43,t3-1,7,0.4931506849315068,55,t12-2,16,0.7511520737327189,22,t12-5,17,0.634703196347032,19,t3-1,7,0.4931506849315068,55,ec3,70,0.5984732824427481,24
10,m7,45,0.4253048780487805,48,m7,45,0.4253048780487805,48,t14-2,21,1.0,19,t17,24,0.3981762917933131,34,t14-2,21,1.0,19,t14-2,21,1.0,19,m7,45,0.4253048780487805,48,t15,22,0.7268588770864947,33,t17,24,0.3981762917933131,34
11,t2-3,68,1.0,28,t11-3,72,0.729483282674772,20,cc3,51,0.6697247706422018,52,t13-4,20,1.0,21,m1,1,1.0,19,t12-5,17,0.634703196347032,19,ec2,74,1.0,27,m1,1,1.0,19,t13-4,20,1.0,21
12,t13-3,19,0.3100303951367781,25,t18,25,0.49544072948328266,19,cc7,48,0.6246200607902735,45,t11-4,59,1.0,19,cc7,48,0.6246200607902735,45,t18,25,0.49544072948328266,19,t18,25,0.49544072948328266,19,m2,26,0.6145675265553869,61,m2,26,0.6145675265553869,61
13,t9,13,0.6651376146788991,39,ec5,53,1.0,50,ec3,70,0.5984732824427481,24,t12-2,16,0.7511520737327189,22,ec3,70,0.5984732824427481,24,t12-5,17,0.634703196347032,19,t12-5,17,0.634703196347032,19,t10,14,0.456752655538695,32,t12-2,16,0.7511520737327189,22
14,m16,39,0.31546707503828486,37,t8-1,43,1.0,38,m13,36,0.6930091185410334,49,t14-1,44,1.0,16,m1,1,1.0,19,m1,1,1.0,19,t17,24,0.3981762917933131,34,m1,1,1.0,19,t14-1,44,1.0,16
15,t13-1,40,0.4817629179331307,19,cc9,61,0.71580547112462,53,t18,25,0.49544072948328266,19,t18,25,0.49544072948328266,19,t18,25,0.49544072948328266,19,m2,26,0.6145675265553869,61,t11-2,60,0.6176024279210925,34,t18,25,0.49544072948328266,19,t11-2,60,0.6176024279210925,34
16,t2-3,68,1.0,28,t11-3,72,0.729483282674772,20,t4,8,0.7092846270928462,58,cc4,52,0.4429223744292237,43,t4,8,0.7092846270928462,58,t5-2,9,0.7051671732522796,27,cc5,69,1.0,25,t12-1,0,0.5288753799392097,15,t12-1,0,0.5288753799392097,15
17,ec7,55,0.44764795144157815,58,t13-3,19,0.3100303951367781,25,t13-1,40,0.4817629179331307,19,t15,22,0.7268588770864947,33,t13-1,40,0.4817629179331307,19,t13-2,18,0.7075757575757575,21,t14-2,21,1.0,19,t13-1,40,0.4817629179331307,19,t15,22,0.7268588770864947,33
18,t11-3,72,0.729483282674772,20,t2-3,68,1.0,28,t11-4,59,1.0,19,t5-1,58,0.496206373292868,24,ec3,70,0.5984732824427481,24,ec1,42,1.0,27,t14-1,44,1.0,16,t5-1,58,0.496206373292868,24,m17,71,0.2898330804248862,39
19,cc10,41,1.0,50,t12-2,16,0.7511520737327189,22,t10,14,0.456752655538695,32,t12-1,0,0.5288753799392097,15,t12-1,0,0.5288753799392097,15,t11-5,15,0.6226993865030674,28,t13-1,40,0.4817629179331307,19,t12-1,0,0.5288753799392097,15,t12-1,0,0.5288753799392097,15
20,m16,39,0.31546707503828486,37,m2,26,0.6145675265553869,61,m13,36,0.6930091185410334,49,t10,14,0.456752655538695,32,t11-5,15,0.6226993865030674,28,t10,14,0.456752655538695,32,t13-2,18,0.7075757575757575,21,t10,14,0.456752655538695,32,t10,14,0.456752655538695,32
21,m8,31,0.3768996960486322,49,t1-1,56,1.0,40,m2,26,0.6145675265553869,61,t16,23,0.4072948328267477,34,t16,23,0.4072948328267477,34,t2-1,64,1.0,23,t2-3,68,1.0,28,t16,23,0.4072948328267477,34,cc5,69,1.0,25
22,m4,28,0.5030395136778115,56,t1-2,5,0.8227272727272728,33,t12-1,0,0.5288753799392097,15,m1,1,1.0,19,t12-1,0,0.5288753799392097,15,t12-1,0,0.5288753799392097,15,t11-1,73,0.5618320610687023,32,t12-1,0,0.5288753799392097,15,m1,1,1.0,19
23,m17,71,0.2898330804248862,39,t15,22,0.7268588770864947,33,m1,1,1.0,19,t17,24,0.3981762917933131,34,t12-2,16,0.7511520737327189,22,m1,1,1.0,19,t17,24,0.3981762917933131,34,t12-2,16,0.7511520737327189,22,t18,25,0.49544072948328266,19
24,ec3,70,0.5984732824427481,24,m17,71,0.2898330804248862,39,t13-3,19,0.3100303951367781,25,t2-3,68,1.0,28,t13-3,19,0.3100303951367781,25,t13-3,19,0.3100303951367781,25,t8-1,43,1.0,38,t13-3,19,0.3100303951367781,25,t2-3,68,1.0,28
25,m12,35,0.4785276073619632,49,m17,71,0.2898330804248862,39,m17,71,0.2898330804248862,39,m18,2,1.0,24,m17,71,0.2898330804248862,39,t12-5,17,0.634703196347032,19,t12-2,16,0.7511520737327189,22,m1,1,1.0,19,m18,2,1.0,24
26,ec7,55,0.44764795144157815,58,ec5,53,1.0,50,m16,39,0.31546707503828486,37,t2-1,64,1.0,23,m16,39,0.31546707503828486,37,t11-2,60,0.6176024279210925,34,ec4,62,1.0,43,m15,38,0.590288315629742,39,m14,37,1.0,46
27,cc2,50,0.7446808510638298,33,m7,45,0.4253048780487805,48,m11,34,0.5759878419452887,48,t13-3,19,0.3100303951367781,25,m11,34,0.5759878419452887,48,m11,34,0.5759878419452887,48,t2-3,68,1.0,28,m11,34,0.5759878419452887,48,t3-2,65,0.49390243902439024,34
28,t13-3,19,0.3100303951367781,25,t11-3,72,0.729483282674772,20,m4,28,0.5030395136778115,56,m1,1,1.0,19,m4,28,0.5030395136778115,56,m9,32,0.6621212121212121,50,t11-2,60,0.6176024279210925,34,m4,28,0.5030395136778115,56,m1,1,1.0,19
29,cc6,49,0.5990853658536586,43,t13-1,40,0.4817629179331307,19,m16,39,0.31546707503828486,37,t11-5,15,0.6226993865030674,28,t13-1,40,0.4817629179331307,19,m13,36,0.6930091185410334,49,m16,39,0.31546707503828486,37,t13-1,40,0.4817629179331307,19,m16,39,0.31546707503828486,37
